fips,county_name,pop_18_24,enrolled_college,enrollment_rate,median_household_income,small_sample
48001,Anderson County,4945,838,0.16946410515672397,62068,FALSE
48003,Andrews County,1594,429,0.2691342534504391,72242,FALSE
48005,Angelina County,7682,2181,0.28391043998958604,60960,FALSE
48007,Aransas County,1298,288,0.2218798151001541,69466,FALSE
48009,Archer County,563,185,0.3285968028419183,72159,FALSE
48011,Armstrong County,172,68,0.3953488372093023,72750,TRUE
48013,Atascosa County,4698,873,0.18582375478927204,70770,FALSE
48015,Austin County,2386,458,0.19195305951383068,75789,FALSE
48017,Bailey County,814,30,0.036855036855036855,61420,FALSE
48019,Bandera County,1165,428,0.36738197424892705,75813,FALSE
48021,Bastrop County,9303,1926,0.20702999032570138,86226,FALSE
48023,Baylor County,173,NA,NA,45370,TRUE
48025,Bee County,3609,1280,0.3546688833471876,57673,FALSE
48027,Bell County,41197,11719,0.2844624608588004,68865,FALSE
48029,Bexar County,208025,73674,0.35415935584665303,72341,FALSE
48031,Blanco County,562,81,0.14412811387900357,92425,FALSE
48033,Borden County,31,NA,NA,65625,TRUE
48035,Bosque County,1326,307,0.23152337858220212,68914,FALSE
48037,Bowie County,7788,1773,0.22765793528505393,59803,FALSE
48039,Brazoria County,32620,11818,0.3622930717351318,97993,FALSE
48041,Brazos County,64455,49761,0.7720269955783104,58553,FALSE
48043,Brewster County,701,482,0.6875891583452212,56212,FALSE
48045,Briscoe County,53,20,0.37735849056603776,45417,TRUE
48047,Brooks County,527,156,0.29601518026565465,47764,FALSE
48049,Brown County,3422,1327,0.38778492109877266,57470,FALSE
48051,Burleson County,1160,298,0.25689655172413794,70000,FALSE
48053,Burnet County,3860,618,0.16010362694300517,78732,FALSE
48055,Caldwell County,4806,1421,0.29567207657095296,69758,FALSE
48057,Calhoun County,1515,313,0.2066006600660066,79959,FALSE
48059,Callahan County,1121,311,0.2774308652988403,72436,FALSE
48061,Cameron County,46604,16153,0.3466011501158699,52601,FALSE
48063,Camp County,1110,336,0.3027027027027027,58843,FALSE
48065,Carson County,527,74,0.14041745730550284,85231,FALSE
48067,Cass County,1921,484,0.2519521082769391,53813,FALSE
48069,Castro County,741,112,0.15114709851551958,56776,FALSE
48071,Chambers County,4720,1448,0.30677966101694915,109804,FALSE
48073,Cherokee County,4156,1004,0.24157844080846969,61261,FALSE
48075,Childress County,609,70,0.11494252873563218,58654,FALSE
48077,Clay County,702,186,0.26495726495726496,80114,FALSE
48079,Cochran County,245,22,0.08979591836734693,45313,FALSE
48081,Coke County,176,40,0.22727272727272727,43333,TRUE
48083,Coleman County,528,5,0.00946969696969697,49159,FALSE
48085,Collin County,100653,44280,0.43992727489493605,121600,FALSE
48087,Collingsworth County,132,46,0.3484848484848485,61280,TRUE
48089,Colorado County,1599,245,0.15322076297686055,66377,FALSE
48091,Comal County,13498,3095,0.22929322862646317,101889,FALSE
48093,Comanche County,1061,158,0.14891611687087652,59635,FALSE
48095,Concho County,263,68,0.2585551330798479,65795,FALSE
48097,Cooke County,3939,676,0.1716171617161716,73932,FALSE
48099,Coryell County,11295,1466,0.12979194333776006,71301,FALSE
48101,Cottle County,197,58,0.29441624365482233,59063,TRUE
48103,Crane County,455,58,0.12747252747252746,62212,FALSE
48105,Crockett County,6,NA,NA,81022,TRUE
48107,Crosby County,459,37,0.08061002178649238,52188,FALSE
48109,Culberson County,131,NA,NA,58777,TRUE
48111,Dallam County,623,74,0.1187800963081862,71500,FALSE
48113,Dallas County,253250,76176,0.30079368213228036,76547,FALSE
48115,Dawson County,1371,105,0.07658643326039387,54360,FALSE
48117,Deaf Smith County,1944,342,0.17592592592592593,60799,FALSE
48119,Delta County,243,27,0.1111111111111111,66575,FALSE
48121,Denton County,87625,41529,0.4739400855920114,111498,FALSE
48123,DeWitt County,1650,339,0.20545454545454545,63730,FALSE
